source_no;sku;slug;status;name_ar;name_en;category;category_slug;subcategory;brand;model;country_of_origin;unit;quantity;price_sar;price_type;availability;warranty;short_description_ar;full_description_ar;dimensions;voltage;frequency;phase;power;capacity;temperature_range;productivity;material;stainless_grade;image_filename;datasheet_filename;possible_duplicate_of;inferred_fields;data_quality;data_quality_notes;additional_image_filenames;image_count
158;EW-QT-0158;stainless-steel-corner-base-cabinet-0158;active;كابينة زاوية أرضية ستانلس 10 سم;Stainless Steel Corner Base Cabinet;منتجات الستانلس ستيل;stainless-steel;الخزائن;غير مذكور;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;كابينةزاوية أرضية من الاستانلس ستيل S/STEEL corner CABINET Size 110/110x70x90+10 cm;كابينةزاوية أرضية من الاستانلس ستيل S/STEEL corner CABINET Size 110/110x70x90+10 cm;110/110x70x90+10 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0158.png;EW-QT-0158.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
159;EW-QT-0159;stainless-steel-corner-wall-cabinet-0159;active;كابينة زاوية جدارية ستانلس 60 سم;Stainless Steel Corner Wall Cabinet;منتجات الستانلس ستيل;stainless-steel;الخزائن;غير مذكور;غير مذكور;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;كابينة زاوية جدارية من الاستانلس ستيل S/STEEL corner CABINET Size 80/80x40x60 cm;كابينة زاوية جدارية من الاستانلس ستيل S/STEEL corner CABINET Size 80/80x40x60 cm;80/80x40x60 cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0159.png;EW-QT-0159.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ بلد المنشأ غير مذكور؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
160;EW-QT-0160;soft-ice-cream-machine-25-l-0160;active;ماكينة آيس كريم 25 لتر;Soft Ice Cream Machine, 25 L;معدات الكافيهات;cafe-equipment;ماكينات الآيس كريم;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;مكينة ايس كريم 3 نكهات: 2 لون و 1 لون مكس 2 خزان التحكم في الكثافة الايسكريم خفيف أو ثقيل خاصية التنظيف الآلي شاشة LED إنتاج 20-25 لتر /ساعة المقاسات : 54 × 72 × 85 سم كهرباء 220 فولت / 60 هيرتز / 1900 واط MADE IN CHINA;مكينة ايس كريم 3 نكهات: 2 لون و 1 لون مكس 2 خزان التحكم في الكثافة الايسكريم خفيف أو ثقيل خاصية التنظيف الآلي شاشة LED إنتاج 20-25 لتر /ساعة المقاسات : 54 × 72 × 85 سم كهرباء 220 فولت / 60 هيرتز / 1900 واط MADE IN CHINA;54 × 72 × 85 سم;غير مذكور;غير مذكور;غير مذكور;غير مذكور;25 لتر;غير مذكور;25 لتر /ساعة;غير مذكور;غير مذكور;EW-QT-0160.jpeg;EW-QT-0160.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
161;EW-QT-0161;pizza-preparation-refrigerator-380-l-0161;active;ثلاجة تحضير بيتزا 380 لتر;Pizza Preparation Refrigerator, 380 L;التبريد والتجميد;refrigeration;ثلاجات التحضير;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة تحضير بيتزا من الفولاذ المقاوم للصدأ الجهد الكهربائي : 220 فولت السعة : 380 لتر نطاق درجة الحرارة : +2 ~ +8 درجة مئوية الأبعاد : العرض : 136.5 سم الارتفاع : 92 سم العمق : 70 سم عدد الصواني : 8 MADE IN CHINA;ثلاجة تحضير بيتزا من الفولاذ المقاوم للصدأ الجهد الكهربائي : 220 فولت السعة : 380 لتر نطاق درجة الحرارة : +2 ~ +8 درجة مئوية الأبعاد : العرض : 136.5 سم الارتفاع : 92 سم العمق : 70 سم عدد الصواني : 8 MADE IN CHINA;غير مذكور;220;غير مذكور;غير مذكور;غير مذكور;380 لتر;+2 ~ +8;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0161.png;EW-QT-0161.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
162;EW-QT-0162;undercounter-refrigerator-0162;active;ثلاجة تحت الطاولة 150 سم;Undercounter Refrigerator;التبريد والتجميد;refrigeration;ثلاجات تحت الطاولة;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة اندر كونتر 1/1GNستانلس ستيل 150cm Size:150x70x85 Tem:0~8◦ Vol:220v/1n/170w Made in china;ثلاجة اندر كونتر 1/1GNستانلس ستيل 150cm Size:150x70x85 Tem:0~8◦ Vol:220v/1n/170w Made in china;150x70x85 ;220v/1;غير مذكور;1n;170w;غير مذكور;0~8◦;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0162.jpeg;EW-QT-0162.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
163;EW-QT-0163;display-or-preparation-refrigerator-0163;active;ثلاجة عرض أو تحضير 120 سم;Display or Preparation Refrigerator;التبريد والتجميد;refrigeration;ثلاجات العرض والتحضير;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجةعرض حلويات 120CM Size:120x65x125 Tem:2~8◦ Vol:220v/1n/440w Made in china;ثلاجةعرض حلويات 120CM Size:120x65x125 Tem:2~8◦ Vol:220v/1n/440w Made in china;120x65x125;220v/1;غير مذكور;1n;440w;غير مذكور;2~8◦;غير مذكور;غير مذكور;غير مذكور;EW-QT-0163.png;EW-QT-0163.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
164;EW-QT-0164;electric-griddle-0164;active;جريل كهربائي 60 سم;Electric Griddle;معدات الطبخ;cooking-equipment;الجريلات;Elite World;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;جريل كهرباء سادة فوق الطاولة مقاس 60CM من الفولاذ المقاوم للصدأ من ELIT WORLD SIZE:60X65X48 TEM:50-300C◦ VOL:380V/3N/60HZ/5.6KW MADE IN CHINA;جريل كهرباء سادة فوق الطاولة مقاس 60CM من الفولاذ المقاوم للصدأ من ELIT WORLD SIZE:60X65X48 TEM:50-300C◦ VOL:380V/3N/60HZ/5.6KW MADE IN CHINA;60CM;380V/3;60HZ;3N;5.6KW;غير مذكور;50-300C◦ ;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0164.jpeg;EW-QT-0164.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
165;EW-QT-0165;commercial-electric-range-0165;active;موقد كهربائي تجاري 60 سم;Commercial Electric Range;معدات الطبخ;cooking-equipment;المواقد;Lincat;غير مذكور;المملكة المتحدة;قطعة;1;;request_quote;غير محدد;غير مذكور;موقد كهربائي LINCAT فوق الطاولة مقاس 60CM من الفولاذ المقاوم للصدأ SIZE:60X60X29 TEM:50-300C◦ VOL:220V/1N/60HZ/7000W MADE IN UK;موقد كهربائي LINCAT فوق الطاولة مقاس 60CM من الفولاذ المقاوم للصدأ SIZE:60X60X29 TEM:50-300C◦ VOL:220V/1N/60HZ/7000W MADE IN UK;60CM;220V/1;60HZ;1N;7000W;غير مذكور;50-300C◦ ;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0165.png;EW-QT-0165.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;رقم الموديل غير مذكور؛ السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
166;EW-QT-0166;commercial-electric-fryer-10-l-1-burner-0166;active;قلاية كهربائية 10 لتر - 1 شعلة;Commercial Electric Fryer, 10 L, 1 Burner;معدات الطبخ;cooking-equipment;القلايات;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;قلاية بطاطس 1 عين مع حنفية من الفولاذ المقاوم للصدأ -power:4.5kw -voltage:220v/60hz Capacity:10 lit Made in china;قلاية بطاطس 1 عين مع حنفية من الفولاذ المقاوم للصدأ -power:4.5kw -voltage:220v/60hz Capacity:10 lit Made in china;غير مذكور;220v/60;60hz;غير مذكور;4.5kw;10 lit;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0166.jpeg;EW-QT-0166.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
167;EW-QT-0167;upright-freezer-1300-l-0167;active;فريزر عمودي 1300 لتر - 213 سم;Upright Freezer, 1300 L;التبريد والتجميد;refrigeration;الفريزرات العمودية;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;فريزر ستانلس استيل بابين 50 قدم Size:138x80x213cm Tem:-17~-22◦ Vol:220v/60hz/1n Cap:1300 lit Made in china;فريزر ستانلس استيل بابين 50 قدم Size:138x80x213cm Tem:-17~-22◦ Vol:220v/60hz/1n Cap:1300 lit Made in china;138x80x213cm;220v/60;60hz;1n;غير مذكور;1300 lit;17~-22◦;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0167.jpeg;EW-QT-0167.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
168;EW-QT-0168;upright-freezer-610-l-0168;active;فريزر عمودي 610 لتر - 213 سم;Upright Freezer, 610 L;التبريد والتجميد;refrigeration;الفريزرات العمودية;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;فريزر ستانلس استيل باب واحد 35 قدم Size:68x80x213cm Tem:-17~-22◦ Vol:220v/60hz/1n Cap:610 lit Made in china;فريزر ستانلس استيل باب واحد 35 قدم Size:68x80x213cm Tem:-17~-22◦ Vol:220v/60hz/1n Cap:610 lit Made in china;68x80x213cm;220v/60;60hz;1n;غير مذكور;610 lit;17~-22◦;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0168.jpeg;EW-QT-0168.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
169;EW-QT-0169;upright-refrigerator-1300-l-0169;active;ثلاجة عمودية 1300 لتر - 213 سم;Upright Refrigerator, 1300 L;التبريد والتجميد;refrigeration;الثلاجات العمودية;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة ستانلس استيل بابين 50 قدم Size:138x80x213cm Tem:0~-10◦ Vol:220v/60hz/1n Cap:1300 lit Made in china;ثلاجة ستانلس استيل بابين 50 قدم Size:138x80x213cm Tem:0~-10◦ Vol:220v/60hz/1n Cap:1300 lit Made in china;138x80x213cm;220v/60;60hz;1n;غير مذكور;1300 lit;0~-10◦;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0169.jpeg;EW-QT-0169.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ درجة الحرارة/السعة أو الأبعاد تحتاج مراجعة فنية قبل النشر;;1
170;EW-QT-0170;upright-refrigerator-610-l-0170;active;ثلاجة عمودية 610 لتر - 213 سم;Upright Refrigerator, 610 L;التبريد والتجميد;refrigeration;الثلاجات العمودية;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة ستانلس استيل باب واحد 35 قدم Size:68x80x213cm Tem:-17~-22◦ Vol:220v/60hz/1n Cap:610 lit Made in china;ثلاجة ستانلس استيل باب واحد 35 قدم Size:68x80x213cm Tem:-17~-22◦ Vol:220v/60hz/1n Cap:610 lit Made in china;68x80x213cm;220v/60;60hz;1n;غير مذكور;610 lit;17~-22◦;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0170.jpeg;EW-QT-0170.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ درجة الحرارة/السعة أو الأبعاد تحتاج مراجعة فنية قبل النشر;;1
171;EW-QT-0171;beverage-display-refrigerator-1300-l-0171;active;ثلاجة عرض مشروبات 1300 لتر - 213 سم;Beverage Display Refrigerator, 1300 L;التبريد والتجميد;refrigeration;ثلاجات العرض;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة عرض مشروبات ستانلس استيل بابين زجاج 50 قدم Size:68x80x213cm Tem:0~-10◦ Vol:220v/60hz/1n Cap:1300 lit Made in china;ثلاجة عرض مشروبات ستانلس استيل بابين زجاج 50 قدم Size:68x80x213cm Tem:0~-10◦ Vol:220v/60hz/1n Cap:1300 lit Made in china;68x80x213cm;220v/60;60hz;1n;غير مذكور;1300 lit;0~-10◦;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0171.jpeg;EW-QT-0171.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ درجة الحرارة/السعة أو الأبعاد تحتاج مراجعة فنية قبل النشر;;1
172;EW-QT-0172;beverage-display-refrigerator-610-l-0172;active;ثلاجة عرض مشروبات 610 لتر - 213 سم;Beverage Display Refrigerator, 610 L;التبريد والتجميد;refrigeration;ثلاجات العرض;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة عرض مشروبات ستانلس استيل باب زجاج 35 قدم Size:138x80x213cm Tem:0~-10◦ Vol:220v/60hz/1n Cap:610 lit Made in china;ثلاجة عرض مشروبات ستانلس استيل باب زجاج 35 قدم Size:138x80x213cm Tem:0~-10◦ Vol:220v/60hz/1n Cap:610 lit Made in china;138x80x213cm;220v/60;60hz;1n;غير مذكور;610 lit;0~-10◦;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0172.jpeg;EW-QT-0172.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ درجة الحرارة/السعة أو الأبعاد تحتاج مراجعة فنية قبل النشر;;1
173;EW-QT-0173;undercounter-refrigerator-0173;active;ثلاجة تحت الطاولة 150 سم;Undercounter Refrigerator;التبريد والتجميد;refrigeration;ثلاجات تحت الطاولة;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;ثلاجة اندر كونتر 1/1GNستانلس ستيل 150cm Size:150x70x85 Tem:0~8◦ Vol:220v/1n/170w Made in china;ثلاجة اندر كونتر 1/1GNستانلس ستيل 150cm Size:150x70x85 Tem:0~8◦ Vol:220v/1n/170w Made in china;150x70x85;220v/1;غير مذكور;1n;170w;غير مذكور;0~8◦;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0173.jpeg;EW-QT-0173.pdf;162;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور؛ تكرار مطابق محتمل للبند 162;;1
174;EW-QT-0174;panini-grill-0174;active;سخان ساندوتش;Panini Grill;معدات الطبخ;cooking-equipment;سخانات الساندوتش;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;سخان ساندوتش -SIZE:43X37X21 -TIM:0-300C◦ -VOL:230V/1N~/2200W MADE IN CHINA;سخان ساندوتش -SIZE:43X37X21 -TIM:0-300C◦ -VOL:230V/1N~/2200W MADE IN CHINA;43X37X21 ;230V/1;غير مذكور;1N;2200W;غير مذكور;0-300C;غير مذكور;غير مذكور;غير مذكور;EW-QT-0174.png;EW-QT-0174.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
175;EW-QT-0175;commercial-electric-fryer-0175;active;قلاية كهربائية;Commercial Electric Fryer;معدات الطبخ;cooking-equipment;القلايات;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;قلاية2 حوض -SIZE:55X42.5X35 -CAP:8Lx2 -TIM:50-200C◦ -VOL:230V/1N~/3x2KW MADE IN CHINA;قلاية2 حوض -SIZE:55X42.5X35 -CAP:8Lx2 -TIM:50-200C◦ -VOL:230V/1N~/3x2KW MADE IN CHINA;55X42.5X35 ;230V/1;غير مذكور;1N;غير مذكور;8L;50-200C;غير مذكور;غير مذكور;غير مذكور;EW-QT-0175.png;EW-QT-0175.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
176;EW-QT-0176;commercial-electric-oven-4-trays-0176;active;فرن كهربائي تجاري 4 صواني - 54 سم;Commercial Electric Oven, 4 Trays;معدات المخابز;bakery-equipment;الأفران الكهربائية;Venix;غير مذكور;إيطاليا;قطعة;1;;request_quote;غير محدد;غير مذكور;Venix Bakery & Pastry oven electrical AISI304 Capacity :4 try 40x60 with CAPACITIVE DIGETALCONTROL SELF CLEANING INTEGRATED 2 motor 2 speed SIZE:80X84X54CM TEM:260C◦ VOL:380V-415V 3N~/230V 1N~ MADE IN ITALY;Venix Bakery & Pastry oven electrical AISI304 Capacity :4 try 40x60 with CAPACITIVE DIGETALCONTROL SELF CLEANING INTEGRATED 2 motor 2 speed SIZE:80X84X54CM TEM:260C◦ VOL:380V-415V 3N~/230V 1N~ MADE IN ITALY;80X84X54CM;380V-415V 3;غير مذكور;3N;غير مذكور;4;260C◦ ;غير مذكور;غير مذكور;304;EW-QT-0176.png;EW-QT-0176.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
177;EW-QT-0177;commercial-electric-fryer-london-ii-0177;active;قلاية كهربائية 5 لتر;Commercial Electric Fryer LONDON II;معدات الطبخ;cooking-equipment;القلايات;MKN;LONDON II;ألمانيا;قطعة;1;;request_quote;غير محدد;غير مذكور;MKN electric fryer LONDON II SIZE:60X85X92 VOL:400V/50/60HZ/3PH/12KW CAP:2X12.5LIT MADE IN GERMANY;MKN electric fryer LONDON II SIZE:60X85X92 VOL:400V/50/60HZ/3PH/12KW CAP:2X12.5LIT MADE IN GERMANY;60X85X92 ;400V/50/60;50/60HZ;3PH;12KW;2X12.5LIT;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0177.png;EW-QT-0177.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;جيد;السعر غير مذكور;;1
178;EW-QT-0178;electric-griddle-0178;active;جريل كهربائي 80 سم;Electric Griddle;معدات الطبخ;cooking-equipment;الجريلات;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;Electric grill with cabinet 80 cm -vol:380v/3n/60hz/8.1kw -Tem:50-300c◦ -size:80x90x93cm Made in china;Electric grill with cabinet 80 cm -vol:380v/3n/60hz/8.1kw -Tem:50-300c◦ -size:80x90x93cm Made in china;80x90x93cm;380v/3;60hz;3n;8.1kw;غير مذكور;50-300c◦ ;غير مذكور;غير مذكور;غير مذكور;EW-QT-0178.png;EW-QT-0178.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
179;EW-QT-0179;meat-grinder-meg22-0179;active;مفرمة لحوم 22 سم;Meat Grinder MEG22;معدات التحضير;food-preparation;مفارم اللحوم;Elite World;MEG22;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;Elite World MEG22, Meat Grinder 22cm Gauge Steel -Productivity:250kg/h -speed:170r/min Vol:220v/60hz/1n/1100w Made in china;Elite World MEG22, Meat Grinder 22cm Gauge Steel -Productivity:250kg/h -speed:170r/min Vol:220v/60hz/1n/1100w Made in china;غير مذكور;220v/60;60hz;1n;1100w;250kg;غير مذكور;250kg/h;غير مذكور;غير مذكور;EW-QT-0179.jpeg;EW-QT-0179.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;جيد;السعر غير مذكور;;1
180;EW-QT-0180;meat-grinder-m1eg32-0180;active;مفرمة لحوم 32 سم;Meat Grinder M1EG32;معدات التحضير;food-preparation;مفارم اللحوم;Elite World;M1EG32;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;Elite World M1EG32, Meat Grinder 32cm Gauge Steel -Productivity:350kg/h -speed:170r/min Vol:220v/60hz/1n/2200w Made in china;Elite World M1EG32, Meat Grinder 32cm Gauge Steel -Productivity:350kg/h -speed:170r/min Vol:220v/60hz/1n/2200w Made in china;غير مذكور;220v/60;60hz;1n;2200w;350kg;غير مذكور;350kg/h;غير مذكور;غير مذكور;EW-QT-0180.jpeg;EW-QT-0180.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;جيد;السعر غير مذكور;;1
181;EW-QT-0181;vertical-contact-toaster-vct-2000-0181;active;توستر تلامس رأسي;Vertical Contact Toaster VCT-2000;معدات الطبخ;cooking-equipment;المحامص;Antunes;VCT-2000;الولايات المتحدة;قطعة;1;;request_quote;غير محدد;غير مذكور;Antunes VCT-2000 Vertical Contact Stainless Steel Dual Toaster SIZE:54X38.7X59.1 VOL:220V/60HZ/1PH/3593W MADE IN U S A;Antunes VCT-2000 Vertical Contact Stainless Steel Dual Toaster SIZE:54X38.7X59.1 VOL:220V/60HZ/1PH/3593W MADE IN U S A;54X38.7X59.1 ;220V/60;60HZ;1PH;3593W;غير مذكور;غير مذكور;غير مذكور;فولاذ مقاوم للصدأ;غير مذكور;EW-QT-0181.png;EW-QT-0181.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;السعر غير مذكور؛ توجد أبعاد Placeholder في المصدر وتحتاج استبدال;;1
182;EW-QT-0182;convection-oven-4-trays-0182;active;فرن كونفكشن 4 صواني - 58 سم;Convection Oven, 4 Trays;معدات المخابز;bakery-equipment;أفران الكونفكشن;Tecnodom;غير مذكور;إيطاليا;قطعة;1;;request_quote;غير محدد;غير مذكور;Tecnodom Digital convection oven 4 Trays GN 1/1 Tecnodom Commercial Pastry Oven Electric Convection 4 Tray temperature 50˚C - 280˚C Digital control panel Voltage 220 v 60HZ Power 3.1KW Dim: W68.6XD66XH58 cm Made in Italy;Tecnodom Digital convection oven 4 Trays GN 1/1 Tecnodom Commercial Pastry Oven Electric Convection 4 Tray temperature 50˚C - 280˚C Digital control panel Voltage 220 v 60HZ Power 3.1KW Dim: W68.6XD66XH58 cm Made in Italy;غير مذكور;220 v 60;60HZ;غير مذكور;3.1KW;غير مذكور;50;غير مذكور;غير مذكور;غير مذكور;EW-QT-0182.png;EW-QT-0182.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;رقم الموديل غير مذكور؛ السعر غير مذكور;;1
183;EW-QT-0183;commercial-electric-fryer-london-ii-0183;active;قلاية كهربائية 5 لتر;Commercial Electric Fryer LONDON II;معدات الطبخ;cooking-equipment;القلايات;MKN;LONDON II;ألمانيا;قطعة;1;;request_quote;غير محدد;غير مذكور;MKN electric fryer LONDON II SIZE:60X85X92 VOL:400V/50/60HZ/3PH/12KW CAP:2X12.5LIT MADE IN GERMANY;MKN electric fryer LONDON II SIZE:60X85X92 VOL:400V/50/60HZ/3PH/12KW CAP:2X12.5LIT MADE IN GERMANY;60X85X92 ;400V/50/60;50/60HZ;3PH;12KW;2X12.5LIT;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0183.png;EW-QT-0183.pdf;177;sku, slug, name_en, category, subcategory, unit, quantity;جيد;السعر غير مذكور؛ تكرار مطابق محتمل للبند 177;;1
184;EW-QT-0184;hand-wash-sink-0184;active;حوض غسيل يدوي 31 سم;Hand Wash Sink;معدات الغسيل;warewashing;أحواض غسيل اليدين;غير مذكور;غير مذكور;الصين;قطعة;1;;request_quote;غير محدد;غير مذكور;SELF CONTAINED HAND WASH SINK Size :40x40x31cm Made in china;SELF CONTAINED HAND WASH SINK Size :40x40x31cm Made in china;40x40x31cm;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0184.png;EW-QT-0184.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;يحتاج مراجعة;العلامة التجارية غير مذكورة؛ رقم الموديل غير مذكور؛ السعر غير مذكور;;1
185;EW-QT-0185;shawarma-grill-ozt1590-0185;active;شواية شاورما 4 شعلة - 133 سم;Shawarma Grill OZT1590;معدات الطبخ;cooking-equipment;الشوايات;Öztiryakiler;OZT1590;تركيا;قطعة;1;;request_quote;غير محدد;غير مذكور;Oztiryakiler OZT1590, Turkish Electric Shawarma Grill with 4 Burners Vol:220v/1n/60hz/17500w Size:56x70x133cm Made in turkey;Oztiryakiler OZT1590, Turkish Electric Shawarma Grill with 4 Burners Vol:220v/1n/60hz/17500w Size:56x70x133cm Made in turkey;56x70x133cm;220v/1;60hz;1n;17500w;غير مذكور;غير مذكور;غير مذكور;غير مذكور;غير مذكور;EW-QT-0185.png;EW-QT-0185.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;جيد;السعر غير مذكور;;1
186;EW-QT-0186;ice-maker-im45cne-g60-0186;active;صانعة ثلج 69 سم;Ice Maker IM45CNE G60;التبريد والتجميد;refrigeration;صانعات الثلج;Hoshizaki;IM45CNE G60;غير مذكور;قطعة;1;;request_quote;غير محدد;غير مذكور;Hoshizaki IM45CNE G60 Self Contained Ice Machine 44 kg/24h Vol:220v/1n/60hz/300w CAP:44KG/24H Size:63x50x69cm Made in U K;Hoshizaki IM45CNE G60 Self Contained Ice Machine 44 kg/24h Vol:220v/1n/60hz/300w CAP:44KG/24H Size:63x50x69cm Made in U K;63x50x69cm;220v/1;60hz;1n;300w;44KG;غير مذكور;44 kg/24h;غير مذكور;غير مذكور;EW-QT-0186.png;EW-QT-0186.pdf;;sku, slug, name_en, category, subcategory, unit, quantity;متوسط;بلد المنشأ غير مذكور؛ السعر غير مذكور;;1
